Radionuclide	Half life	Activity in Bq for MOEC	Activity in Bq  Peak Burnup (100 MWd/t)
I-131	8.02 d	1.46E+18	1.48E+18
I-132	2.30 h	1.94E+18	1.96E+18
I-133	20.80 h	2.51E+18	2.54E+18
I-134	52.50 m	2.50E+18	2.53E+18
I-135	6.57 h	2.21E+18	2.23E+18
Cs-134	754.50 d	5.19E+16	9.65E+16
Cs-137	30.07 y	4.98E+16	1.00E+17
Rb-88	17.78 m	5.17E+17	5.22E+17
Ru-103	39.26 d	2.22E+18	2.41E+18
Ru-106	373.59 d	6.16E+17	1.06E+18
Sr-89	50.53 d	6.31E+17	7.12E+17
Sr-90	28.79 y	1.43E+16	2.88E+16
Ce-141	32.50 d	1.98E+18	2.11E+18
Ce-144	284.89 d	6.37E+17	1.05E+18
Te-131m	30.00 h	1.61E+17	1.63E+17
Te-132	3.20 d	1.86E+18	1.88E+18
Ba-140	12.75 d	1.91E+18	1.93E+18
Zr-95	64.02 d	1.49E+18	1.76E+18
La-140	1.68 d	1.94E+18	1.96E+18
Kr-83m	1.85 h	2.36E+15	4.69E+15
Kr-85	10.70 y	2.24E+17	2.26E+17
Kr-85m	4.48 h	4.04E+17	4.08E+17
Kr-87	76.30 m	4.89E+17	4.94E+17
Kr-88	2.84 h	2.52E+18	2.55E+18
Kr-89	3.15 m	2.63E+18	2.66E+18
Xe-131m	11.84 d	1.46E+18	1.48E+18
Xe-133	5.24 d	1.94E+18	1.96E+18
Xe-133m	2.2 d	2.51E+18	2.54E+18
Xe-135	9.14 h	2.50E+18	2.53E+18
Xe-135m	15.29 m	2.21E+18	2.23E+18
Xe-137	3.82 m	5.19E+16	9.65E+16
Xe-138	14.08 m	4.98E+16	1.00E+17
U-237	6.75 d	1.37E+17	1.46E+17
U-239	23.45 m	2.34E+19	2.84E+19
Np-238	2.12 d	2.80E+16	5.39E+16
Np-239	2.35 d	2.53E+19	2.59E+19
Pu-238	87.7 y	2.51E+14	5.77E+14
Pu-239	2.4E4 y	2.38E+15	2.17E+15
Pu-240	6564 y	3.68E+15	3.87E+15
Pu-241	14 y	3.08E+17	2.95E+17
Pu-242	3.7E5 y	4.61E+12	5.79E+12
Cm-242	0.44 y	3.51E+16	8.16E+16
Cm-243	28.5 y	8.74E+12	2.49E+13
Cm-244	18.1 y	9.40E+14	2.70E+15
