Time 		 total_aerosol_mass(Kg)
   0.000000e+00   4.717391e+02
   5.555556e-03   4.715325e+02
   1.111111e-02   4.713363e+02
   1.666667e-02   4.711481e+02
   2.222222e-02   4.709665e+02
   2.777778e-02   4.707904e+02
   3.333333e-02   4.706189e+02
   3.888889e-02   4.704516e+02
   4.444444e-02   4.702878e+02
   5.000000e-02   4.701272e+02
   5.555556e-02   4.699695e+02
   6.111111e-02   4.698143e+02
   6.666667e-02   4.696615e+02
   7.222222e-02   4.695108e+02
   7.777778e-02   4.693621e+02
   8.333333e-02   4.692152e+02
   8.888889e-02   4.690699e+02
   9.444444e-02   4.689262e+02
   1.000000e-01   4.687839e+02
   1.055556e-01   4.686429e+02
   1.111111e-01   4.685032e+02
   1.166667e-01   4.683646e+02
   1.222222e-01   4.682271e+02
   1.277778e-01   4.680905e+02
   1.333333e-01   4.679549e+02
   1.388889e-01   4.678202e+02
   1.444444e-01   4.676863e+02
   1.500000e-01   4.675532e+02
   1.555556e-01   4.674207e+02
   1.611111e-01   4.672890e+02
   1.666667e-01   4.671578e+02
   1.722222e-01   4.670273e+02
   1.777778e-01   4.668972e+02
   1.833333e-01   4.667677e+02
   1.888889e-01   4.666387e+02
   1.944444e-01   4.665101e+02
   2.000000e-01   4.663819e+02
   2.055556e-01   4.662541e+02
   2.111111e-01   4.661266e+02
   2.166667e-01   4.659994e+02
   2.222222e-01   4.658726e+02
   2.277778e-01   4.657460e+02
   2.333333e-01   4.656196e+02
   2.388889e-01   4.654935e+02
   2.444444e-01   4.653676e+02
   2.500000e-01   4.652419e+02
   2.555556e-01   4.651163e+02
   2.611111e-01   4.649908e+02
   2.666667e-01   4.648655e+02
   2.722222e-01   4.647402e+02
   2.777778e-01   4.646151e+02
   2.833333e-01   4.644899e+02
   2.888889e-01   4.643649e+02
   2.944444e-01   4.642398e+02
   3.000000e-01   4.641148e+02
   3.055556e-01   4.639898e+02
   3.111111e-01   4.638647e+02
   3.166667e-01   4.637396e+02
   3.222222e-01   4.636144e+02
   3.277778e-01   4.634892e+02
   3.333333e-01   4.633639e+02
   3.388889e-01   4.632384e+02
   3.444444e-01   4.631129e+02
   3.500000e-01   4.629872e+02
   3.555556e-01   4.628614e+02
   3.611111e-01   4.627354e+02
   3.666667e-01   4.626093e+02
   3.722222e-01   4.624830e+02
   3.777778e-01   4.623565e+02
   3.833333e-01   4.622297e+02
   3.888889e-01   4.621028e+02
   3.944444e-01   4.619756e+02
   4.000000e-01   4.618481e+02
   4.055556e-01   4.617204e+02
   4.111111e-01   4.615924e+02
   4.166667e-01   4.614642e+02
   4.222222e-01   4.613356e+02
   4.277778e-01   4.612067e+02
   4.333333e-01   4.610775e+02
   4.388889e-01   4.609480e+02
   4.444444e-01   4.608181e+02
   4.500000e-01   4.606878e+02
   4.555556e-01   4.605572e+02
   4.611111e-01   4.604262e+02
   4.666667e-01   4.602947e+02
   4.722222e-01   4.601629e+02
   4.777778e-01   4.600307e+02
   4.833333e-01   4.598980e+02
   4.888889e-01   4.597648e+02
   4.944444e-01   4.596312e+02
   5.000000e-01   4.594972e+02
   5.055556e-01   4.593626e+02
   5.111111e-01   4.592276e+02
   5.166667e-01   4.590920e+02
   5.222222e-01   4.589559e+02
   5.277778e-01   4.588193e+02
   5.333333e-01   4.586821e+02
   5.388889e-01   4.585444e+02
   5.444444e-01   4.584061e+02
   5.500000e-01   4.582672e+02
   5.555556e-01   4.581277e+02
   5.611111e-01   4.579876e+02
   5.666667e-01   4.578469e+02
   5.722222e-01   4.577055e+02
   5.777778e-01   4.575635e+02
   5.833333e-01   4.574208e+02
   5.888889e-01   4.572774e+02
   5.944444e-01   4.571334e+02
   6.000000e-01   4.569886e+02
   6.055556e-01   4.568431e+02
   6.111111e-01   4.566969e+02
   6.166667e-01   4.565500e+02
   6.222222e-01   4.564022e+02
   6.277778e-01   4.562537e+02
   6.333333e-01   4.561045e+02
