Time 		 total_aerosol_mass(Kg)
   0.000000e+00   4.717391e+02
   5.555556e-03   4.715325e+02
   1.111111e-02   4.713363e+02
   1.666667e-02   4.711481e+02
   2.222222e-02   4.709665e+02
   2.777778e-02   4.707904e+02
   3.333333e-02   4.706189e+02
   3.888889e-02   4.704516e+02
   4.444444e-02   4.702878e+02
   5.000000e-02   4.701272e+02
   5.555556e-02   4.699695e+02
   6.111111e-02   4.698143e+02
   6.666667e-02   4.696615e+02
   7.222222e-02   4.695108e+02
   7.777778e-02   4.693621e+02
   8.333333e-02   4.692152e+02
   8.888889e-02   4.690699e+02
   9.444444e-02   4.689262e+02
   1.000000e-01   4.687839e+02
   1.055556e-01   4.686430e+02
   1.111111e-01   4.685032e+02
   1.166667e-01   4.683647e+02
   1.222222e-01   4.682271e+02
   1.277778e-01   4.680906e+02
   1.333333e-01   4.679551e+02
   1.388889e-01   4.678203e+02
   1.444444e-01   4.676865e+02
   1.500000e-01   4.675533e+02
   1.555556e-01   4.674209e+02
   1.611111e-01   4.672892e+02
   1.666667e-01   4.671580e+02
   1.722222e-01   4.670275e+02
   1.777778e-01   4.668975e+02
   1.833333e-01   4.667680e+02
   1.888889e-01   4.666390e+02
   1.944444e-01   4.665104e+02
   2.000000e-01   4.663822e+02
   2.055556e-01   4.662545e+02
   2.111111e-01   4.661270e+02
   2.166667e-01   4.659999e+02
   2.222222e-01   4.658731e+02
   2.277778e-01   4.657465e+02
   2.333333e-01   4.656202e+02
   2.388889e-01   4.654941e+02
   2.444444e-01   4.653682e+02
   2.500000e-01   4.652425e+02
   2.555556e-01   4.651170e+02
   2.611111e-01   4.649915e+02
   2.666667e-01   4.648662e+02
   2.722222e-01   4.647410e+02
   2.777778e-01   4.646159e+02
   2.833333e-01   4.644909e+02
   2.888889e-01   4.643658e+02
   2.944444e-01   4.642408e+02
   3.000000e-01   4.641159e+02
   3.055556e-01   4.639909e+02
   3.111111e-01   4.638659e+02
   3.166667e-01   4.637408e+02
   3.222222e-01   4.636157e+02
   3.277778e-01   4.634905e+02
   3.333333e-01   4.633653e+02
   3.388889e-01   4.632399e+02
   3.444444e-01   4.631144e+02
   3.500000e-01   4.629888e+02
   3.555556e-01   4.628631e+02
   3.611111e-01   4.627372e+02
   3.666667e-01   4.626111e+02
   3.722222e-01   4.624848e+02
   3.777778e-01   4.623584e+02
   3.833333e-01   4.622317e+02
   3.888889e-01   4.621049e+02
   3.944444e-01   4.619777e+02
   4.000000e-01   4.618504e+02
   4.055556e-01   4.617228e+02
   4.111111e-01   4.615949e+02
   4.166667e-01   4.614667e+02
   4.222222e-01   4.613382e+02
   4.277778e-01   4.612094e+02
   4.333333e-01   4.610803e+02
   4.388889e-01   4.609508e+02
   4.444444e-01   4.608210e+02
   4.500000e-01   4.606909e+02
   4.555556e-01   4.605604e+02
   4.611111e-01   4.604294e+02
   4.666667e-01   4.602981e+02
   4.722222e-01   4.601664e+02
   4.777778e-01   4.600343e+02
   4.833333e-01   4.599017e+02
   4.888889e-01   4.597687e+02
   4.944444e-01   4.596352e+02
   5.000000e-01   4.595012e+02
   5.055556e-01   4.593668e+02
   5.111111e-01   4.592319e+02
   5.166667e-01   4.590965e+02
   5.222222e-01   4.589605e+02
   5.277778e-01   4.588240e+02
   5.333333e-01   4.586870e+02
   5.388889e-01   4.585494e+02
   5.444444e-01   4.584112e+02
   5.500000e-01   4.582725e+02
   5.555556e-01   4.581332e+02
   5.611111e-01   4.579932e+02
   5.666667e-01   4.578526e+02
   5.722222e-01   4.577114e+02
   5.777778e-01   4.575696e+02
   5.833333e-01   4.574271e+02
   5.888889e-01   4.572839e+02
   5.944444e-01   4.571400e+02
   6.000000e-01   4.569954e+02
   6.055556e-01   4.568501e+02
   6.111111e-01   4.567041e+02
   6.166667e-01   4.565573e+02
   6.222222e-01   4.564098e+02
   6.277778e-01   4.562615e+02
   6.333333e-01   4.561124e+02
